CensusTime,AgeH,Chamber,Collective,UniqueName,line,treatment,Transfer,Deaths,Carried,Censored,Flag1,Flag2,N,trial,IntDeaths
159,2016-02-29 09:18:26,68.1288888888889,64,64,Ral509/H2O2,Ral509,H2O2,Y,0,1,0,0,0,9,21,1
160,2016-02-29 09:18:26,68.1288888888889,65,65,Ral340/H2O2,Ral340,H2O2,Y,0,4,0,0,0,6,21,1
161,2016-02-29 09:18:26,68.1288888888889,65,65,Ral340/H2O2,Ral340,H2O2,Y,0,4,0,0,0,6,21,1
162,2016-02-29 09:18:26,68.1288888888889,65,65,Ral340/H2O2,Ral340,H2O2,Y,0,4,0,0,0,6,21,1
163,2016-02-29 09:18:26,68.1288888888889,65,65,Ral340/H2O2,Ral340,H2O2,Y,0,4,0,0,0,6,21,1
164,2016-02-29 09:18:26,68.1288888888889,66,66,Ral774/H2O2,Ral774,H2O2,Y,0,3,0,0,0,8,21,1
165,2016-02-29 09:18:26,68.1288888888889,66,66,Ral774/H2O2,Ral774,H2O2,Y,0,3,0,0,0,8,21,1
166,2016-02-29 09:18:26,68.1288888888889,66,66,Ral774/H2O2,Ral774,H2O2,Y,0,3,0,0,0,8,21,1
167,2016-02-29 09:18:26,68.1288888888889,68,68,Ral348/H2O2,Ral348,H2O2,Y,0,1,0,0,0,9,21,1
168,2016-02-29 09:18:26,68.1288888888889,71,71,Ral799/H2O2,Ral799,H2O2,Y,0,4,0,0,0,6,21,1
169,2016-02-29 09:18:26,68.1288888888889,71,71,Ral799/H2O2,Ral799,H2O2,Y,0,4,0,0,0,6,21,1
170,2016-02-29 09:18:26,68.1288888888889,71,71,Ral799/H2O2,Ral799,H2O2,Y,0,4,0,0,0,6,21,1
171,2016-02-29 09:18:26,68.1288888888889,71,71,Ral799/H2O2,Ral799,H2O2,Y,0,4,0,0,0,6,21,1
172,2016-02-29 09:18:26,68.1288888888889,72,72,Ral468/H2O2,Ral468,H2O2,Y,0,3,0,0,0,5,21,1
173,2016-02-29 09:18:26,68.1288888888889,72,72,Ral468/H2O2,Ral468,H2O2,Y,0,3,0,0,0,5,21,1
174,2016-02-29 09:18:26,68.1288888888889,72,72,Ral468/H2O2,Ral468,H2O2,Y,0,3,0,0,0,5,21,1
175,2016-02-29 09:18:26,68.1288888888889,73,73,Ral461/H2O2,Ral461,H2O2,Y,10,0,0,0,0,0,21,1
176,2016-02-29 09:18:26,68.1288888888889,73,73,Ral461/H2O2,Ral461,H2O2,Y,10,0,0,0,0,0,21,1
177,2016-02-29 09:18:26,68.1288888888889,73,73,Ral461/H2O2,Ral461,H2O2,Y,10,0,0,0,0,0,21,1
178,2016-02-29 09:18:26,68.1288888888889,73,73,Ral461/H2O2,Ral461,H2O2,Y,10,0,0,0,0,0,21,1
179,2016-02-29 09:18:26,68.1288888888889,73,73,Ral461/H2O2,Ral461,H2O2,Y,10,0,0,0,0,0,21,1
180,2016-02-29 09:18:26,68.1288888888889,73,73,Ral461/H2O2,Ral461,H2O2,Y,10,0,0,0,0,0,21,1
181,2016-02-29 09:18:26,68.1288888888889,74,74,Ral843/H2O2,Ral843,H2O2,Y,0,1,0,0,0,9,21,1
182,2016-02-29 09:18:26,68.1288888888889,75,75,Ral354/H2O2,Ral354,H2O2,Y,0,2,0,0,0,8,21,1
183,2016-02-29 09:18:26,68.1288888888889,77,77,Ral348/H2O2,Ral348,H2O2,Y,0,1,0,0,0,9,21,1
184,2016-02-29 09:18:26,68.1288888888889,80,80,Ral461/H2O2,Ral461,H2O2,Y,10,0,0,0,0,0,21,1
185,2016-02-29 09:18:26,68.1288888888889,80,80,Ral461/H2O2,Ral461,H2O2,Y,10,0,0,0,0,0,21,1
186,2016-02-29 09:18:26,68.1288888888889,80,80,Ral461/H2O2,Ral461,H2O2,Y,10,0,0,0,0,0,21,1
187,2016-02-29 09:18:26,68.1288888888889,80,80,Ral461/H2O2,Ral461,H2O2,Y,10,0,0,0,0,0,21,1
188,2016-02-29 09:18:26,68.1288888888889,80,80,Ral461/H2O2,Ral461,H2O2,Y,10,0,0,0,0,0,21,1
189,2016-02-29 09:18:26,68.1288888888889,86,86,Ral348/H2O2,Ral348,H2O2,Y,0,2,0,0,0,8,21,1
190,2016-02-29 09:18:26,68.1288888888889,86,86,Ral348/H2O2,Ral348,H2O2,Y,0,2,0,0,0,8,21,1
191,2016-02-29 09:18:26,68.1288888888889,89,89,Ral513/H2O2,Ral513,H2O2,Y,0,6,0,0,0,4,21,1
192,2016-02-29 09:18:26,68.1288888888889,89,89,Ral513/H2O2,Ral513,H2O2,Y,0,6,0,0,0,4,21,1
193,2016-02-29 09:18:26,68.1288888888889,89,89,Ral513/H2O2,Ral513,H2O2,Y,0,6,0,0,0,4,21,1
194,2016-02-29 09:18:26,68.1288888888889,89,89,Ral513/H2O2,Ral513,H2O2,Y,0,6,0,0,0,4,21,1
195,2016-02-29 09:18:26,68.1288888888889,91,91,Ral861/H2O2,Ral861,H2O2,Y,0,5,0,0,0,5,21,1
196,2016-02-29 09:18:26,68.1288888888889,91,91,Ral861/H2O2,Ral861,H2O2,Y,0,5,0,0,0,5,21,1
197,2016-02-29 09:18:26,68.1288888888889,91,91,Ral861/H2O2,Ral861,H2O2,Y,0,5,0,0,0,5,21,1
198,2016-02-29 09:18:26,68.1288888888889,91,91,Ral861/H2O2,Ral861,H2O2,Y,0,5,0,0,0,5,21,1
199,2016-02-29 09:18:26,68.1288888888889,91,91,Ral861/H2O2,Ral861,H2O2,Y,0,5,0,0,0,5,21,1
200,2016-02-29 09:18:26,68.1288888888889,92,92,Ral802/H2O2,Ral802,H2O2,Y,0,3,0,0,0,7,21,1
201,2016-02-29 09:18:26,68.1288888888889,92,92,Ral802/H2O2,Ral802,H2O2,Y,0,3,0,0,0,7,21,1
202,2016-02-29 09:18:26,68.1288888888889,94,94,Ral374/H2O2,Ral374,H2O2,Y,0,2,0,0,0,8,21,1
